"the_geom","OBJECTID","PARK","PARK_NO","NAME","X_COORD","Y_COORD","ARTIST","OWNER","GISOBJID","OFFICIAL_N"
"POINT (-87.69382037136397 42.01016587652167)","1","INDIAN BOUNDARY","165","River Suite","-87.6938203714","42.0101658765","Phil Schuster","CPD","5,856",
"POINT (-87.6810169751945 41.70025485196542)","2","KING-LOCKHART (PATRICK, ANTHONY)","558","Where Dreams Begin","-87.6810169752","41.700254852","Marshall Svendsen","CPD","5,822",
"POINT (-87.66135902067376 41.87171557171757)","3","ARRIGO (VICTOR)","215","Christopher Columbus and Fountain","-87.6613590207","41.8717155717","Moses Ezekiel","CPD","1,231","Christopher Columbus Monument at Arrigo"
"POINT (-87.59277601514071 41.79167964091983)","4","BIXLER (RAY)","1,083","Phil Richman Fountain","-87.5927760151","41.7916796409",,"CPD","1,232",
"POINT (-87.61652131557966 41.86080578892533)","5","BURNHAM (DANIEL)","27","American Doughboy (Spirit of the American Doughboy)","-87.6165213156","41.8608057889","Ernest Moore Viquesney","CPD","1,233","American Doughboy"
"POINT (-87.59719664210172 41.82065095129795)","6","BURNHAM (DANIEL)","27","Mermaid (La Sirena)","-87.5971966421","41.8206509513","Jose Moreno, Roman Villareal, Ed Fu & Fred Arroyo","CPD","1,234","Mermaid"
"POINT (-87.61422863058182 41.86244137800188)","7","BURNHAM (DANIEL)","27","Gold Star Families Memorial","-87.6142286306","41.862441378","David Woodhouse & Assoc.","CPD","1,235","Gold Star Families Memorial"
"POINT (-87.60977276910002 41.850698585451596)","8","BURNHAM (DANIEL)","27","Chicago Firefighter/Paramedic Memorial","-87.6097727691","41.8506985855","John Alaniz","CPD","1,236","Chicago Firefighter and Paramedic Memorial"
"POINT (-87.61484271097395 41.86457281020405)","9","BURNHAM (DANIEL)","27","Soldier Field Children's Garden","-87.614842711","41.8645728102","Peter Lindsay Schaudt",,"1,237",
"POINT (-87.61547852516993 41.86217556692968)","10","BURNHAM (DANIEL)","27","Special Olympics Memorial","-87.6154785252","41.8621755669","Richard Hunt","CPD","1,238",
